,Optimal k
0,135
1,113
2,113
3,91
4,70
5,91
6,113
7,135
8,135
9,135
10,178
11,156
12,135
13,113
14,156
15,91
16,70
17,156
18,113
19,91
20,113
21,135
22,113
23,91
24,91
25,91
26,113
27,135
28,70
29,135
30,91
31,70
32,113
33,91
34,156
35,91
36,91
37,113
38,113
39,91
40,113
41,70
42,156
43,113
44,91
45,70
46,156
47,113
48,91
49,135
50,113
51,70
52,113
53,113
54,113
55,113
56,91
57,91
58,156
59,113
60,70
61,156
62,91
63,135
64,91
65,135
66,70
67,113
68,91
69,91
70,156
71,113
72,113
73,178
74,135
75,91
76,91
77,113
78,113
79,91
80,135
81,135
82,135
83,113
84,113
85,113
86,135
87,113
88,91
89,113
90,113
91,91
92,70
93,135
94,156
95,113
96,70
97,113
98,113
99,113
100,113
101,135
102,135
103,91
104,113
105,113
106,113
107,113
108,113
109,135
110,113
111,91
112,135
113,91
114,113
115,91
116,91
117,91
118,113
119,113
120,135
121,135
122,113
123,113
124,91
125,135
126,113
127,91
128,156
129,113
130,113
131,91
132,178
133,113
134,113
135,70
136,91
137,135
138,91
139,135
140,91
141,113
142,156
143,178
144,178
145,91
146,91
147,178
148,135
149,91
150,70
151,156
152,91
153,91
154,113
155,113
156,178
157,135
158,135
159,156
160,91
161,113
162,113
163,113
164,113
165,113
166,135
167,113
168,113
169,70
170,113
171,70
172,91
173,91
174,113
175,113
176,113
177,178
178,91
179,156
180,113
181,113
182,113
183,135
184,135
185,113
186,70
187,113
188,91
189,113
190,156
191,135
192,135
193,135
194,91
195,135
196,135
197,113
198,135
199,113
200,70
201,91
202,156
203,91
204,91
205,91
206,91
207,156
208,91
209,156
210,91
211,70
212,113
213,113
214,70
215,113
216,91
217,113
218,91
219,91
220,91
221,135
222,113
223,156
224,113
225,156
226,156
227,91
228,91
229,113
230,113
231,113
232,113
233,113
234,113
235,156
236,113
237,113
238,156
239,135
240,113
241,91
242,91
243,113
244,70
245,91
246,91
247,113
248,178
249,91
250,113
251,135
252,113
253,200
254,91
255,113
256,113
257,135
258,91
259,113
260,156
261,70
262,91
263,113
264,113
265,135
266,113
267,113
268,135
269,113
270,113
271,70
272,113
273,178
274,135
275,135
276,91
277,156
278,91
279,113
280,135
281,135
282,135
283,113
284,91
285,91
286,113
287,91
288,135
289,135
290,91
291,156
292,91
293,113
294,113
295,113
296,113
297,113
298,113
299,91
300,156
301,113
302,113
303,113
304,113
305,135
306,156
307,91
308,113
309,91
310,113
311,113
312,91
313,113
314,135
315,113
316,135
317,91
318,91
319,91
320,113
321,178
322,135
323,70
324,113
325,91
326,91
327,113
328,156
329,156
330,113
331,113
332,135
333,178
334,113
335,113
336,91
337,113
338,113
339,113
340,91
341,135
342,113
343,113
344,91
345,91
346,156
347,135
348,113
349,91
350,113
351,113
352,113
353,135
354,91
355,113
356,156
357,135
358,91
359,113
360,91
361,156
362,135
363,113
364,156
365,113
366,135
367,135
368,113
369,113
370,70
371,135
372,135
373,91
374,113
375,113
376,178
377,113
378,91
379,91
380,91
381,113
382,91
383,91
384,156
385,135
386,70
387,91
388,91
389,91
390,113
391,113
392,70
393,91
394,113
395,70
396,113
397,135
398,156
399,113
400,113
401,135
402,156
403,135
404,135
405,113
406,70
407,70
408,70
409,135
410,135
411,113
412,135
413,113
414,113
415,91
416,113
417,113
418,113
419,113
420,156
421,91
422,135
423,178
424,135
425,135
426,135
427,135
428,113
429,113
430,113
431,91
432,113
433,113
434,113
435,113
436,156
437,178
438,135
439,113
440,113
441,156
442,70
443,135
444,135
445,113
446,113
447,70
448,113
449,91
450,91
451,135
452,135
453,91
454,113
455,91
456,156
457,135
458,113
459,70
460,135
461,113
462,113
463,135
464,156
465,156
466,70
467,156
468,91
469,91
470,135
471,135
472,156
473,113
474,135
475,113
476,113
477,91
478,91
479,135
480,70
481,135
482,178
483,178
484,135
485,91
486,135
487,156
488,113
489,91
490,113
491,91
492,113
493,135
494,91
495,91
496,156
497,135
498,91
499,70
500,91
